age,male,female
0,0.004232946,0.00350915
1,0.000229026,0.000214023
2,0.000127008,0.000114006
3,0.000102005,9.50E-05
4,8.60E-05,6.40E-05
5,7.40E-05,7.40E-05
6,8.50E-05,7.10E-05
7,6.70E-05,5.50E-05
8,6.90E-05,5.80E-05
9,6.00E-05,5.10E-05
10,7.80E-05,6.60E-05
11,7.70E-05,5.50E-05
12,0.000102005,5.70E-05
13,0.000116007,8.70E-05
14,0.000129008,9.60E-05
15,0.000172015,0.000113006
16,0.000205021,0.000131009
17,0.000311048,0.000158012
18,0.000402081,0.000218024
19,0.000454103,0.000212022
20,0.000525138,0.000187017
21,0.000507129,0.000211022
22,0.000497124,0.00024503
23,0.000524137,0.000215023
24,0.000556155,0.000223025
25,0.000601181,0.000260034
26,0.000607184,0.000257033
27,0.000629198,0.000310048
28,0.000681232,0.000314049
29,0.000728265,0.000338057
30,0.000771297,0.000387075
31,0.000835349,0.000394078
32,0.000858368,0.00046811
33,0.000957458,0.000493122
34,0.000989489,0.000585171
35,0.001100605,0.000592175
36,0.001155668,0.00067823
37,0.001351913,0.00076129
38,0.001317868,0.000792314
39,0.001458062,0.000868377
40,0.001607291,0.000924427
41,0.001701447,0.001004504
42,0.00184971,0.001102608
43,0.002017033,0.001239768
44,0.002212446,0.001345905
45,0.002470048,0.001485102
46,0.002649507,0.001626322
47,0.002746769,0.001745523
48,0.002964389,0.001967935
49,0.003302447,0.002053106
50,0.003583413,0.002236499
51,0.003828319,0.002455011
52,0.004083325,0.002584337
53,0.004411717,0.002767827
54,0.004731174,0.002968401
55,0.005058774,0.003288401
56,0.005608699,0.00364363
57,0.006078436,0.003935735
58,0.006717512,0.004376563
59,0.007265329,0.004718113
60,0.007943466,0.005260814
61,0.008673506,0.005651942
62,0.009647387,0.006471898
63,0.010608067,0.006841349
64,0.011233864,0.007406359
65,0.012538277,0.008146089
66,0.013949848,0.008808683
67,0.014892343,0.009599932
68,0.016483103,0.010658602
69,0.018112037,0.011524149
70,0.019425458,0.012978862
71,0.021014261,0.013730838
72,0.02304552,0.015620365
73,0.026137631,0.0174402
74,0.029198147,0.019884391
75,0.032833157,0.022006374
76,0.036383941,0.024699538
77,0.040963671,0.028315116
78,0.046240817,0.031924198
79,0.051565963,0.036366311
80,0.057780607,0.040416868
81,0.064037313,0.046176932
82,0.071707625,0.051500684
83,0.080652727,0.058853379
84,0.091343657,0.067360633
85,0.102559996,0.076608943
86,0.116782162,0.088306761
87,0.131029382,0.100835215
88,0.148098697,0.114062715
89,0.167842486,0.129663454
90,0.178515609,0.146722008
91,0.20251406,0.166571837
92,0.224230392,0.187566487
93,0.252290476,0.21018784
94,0.280515812,0.233029759
95,0.31327479,0.261659613
96,0.343186326,0.291919036
97,0.37695054,0.325645656
98,0.408730935,0.356173641
99,0.4619434,0.385530137
100,0.495126174,0.431925107
