sex,state,name,estimate
female,single,age_16_19,-0.81555733
female,single,age_20_24,0
female,single,age_25_29,0.179907813
female,single,age_30_34,-0.121541728
female,single,age_35_39,-0.67405147
female,single,age_40_44,-1.099784576
female,single,age_45_49,-2.372456207
female,single,"C#, Native",2.240479131
female,single,"C#1G, EW",1.956797664
female,single,"C#1G, India",-0.371604552
female,single,"C#1G, Pakistan",-0.762628457
female,single,"C#1G, Bangladesh",-1.501214648
female,single,"C#1G, Caribbean",1.376766364
female,single,"C#1G, African",1.104948174
female,single,"C#1G, Other",1.349548683
female,single,"C#2G, EW",2.083140442
female,single,"C#2G, India",0.582514458
female,single,"C#2G, Pakistan",-0.749731924
female,single,"C#2G, Bangladesh",-0.922576949
female,single,"C#2G, Caribbean",1.334591509
female,single,"C#2G, African",1.203495891
female,single,"C#2G, Other",1.576885795
female,single,"M#, Native",0
female,single,"M#1G, EW",0.704034696
female,single,"M#1G, India",2.022647753
female,single,"M#1G, Pakistan",2.43312464
female,single,"M#1G, Bangladesh",2.792214251
female,single,"M#1G, Caribbean",0.475980109
female,single,"M#1G, African",1.104948174
female,single,"M#1G, Other",1.25826921
female,single,"M#2G, EW",0.1898738
female,single,"M#2G, India",1.597476661
female,single,"M#2G, Pakistan",2.01106888
female,single,"M#2G, Bangladesh",1.33620429
female,single,"M#2G, Caribbean",-0.693556864
female,single,"M#2G, African",0.713289456
female,single,"M#2G, Other",0.114831128
female,single,"B#, Native",1.089801588
female,single,"B#1G, EW",0.539731397
female,single,"B#1G, India",0.599174356
female,single,"B#1G, Pakistan",0.772701615
female,single,"B#1G, Bangladesh",0.918703818
female,single,"B#1G, Caribbean",1.936382188
female,single,"B#1G, African",1.172899078
female,single,"B#1G, Other",1.015013265
female,single,"B#2G, EW",0.968963634
female,single,"B#2G, India",0.282409698
female,single,"B#2G, Pakistan",0.808412828
female,single,"B#2G, Bangladesh",-0.2294309
female,single,"B#2G, Caribbean",1.518374044
female,single,"B#2G, African",0.605658781
female,single,"B#2G, Other",0.938031871
female,single,constant,-6.853172401
female,single,cohort_80_03,0
female,single,sep,0.298731799
female,single,Parity_0,0
female,single,Parity_1,0.211215899
female,single,Parity_2,-0.086408904
female,single,Parity_3+,-0.149028222
male,single,age_16_19,-1.318245882
male,single,age_20_24,0
male,single,age_25_29,0.556070081
male,single,age_30_34,0.453264305
male,single,age_35_39,0.086604211
male,single,age_40_44,-0.414542433
male,single,age_45_49,-0.994296599
male,single,"C#, Native",2.261714868
male,single,"C#1G, EW",2.067428169
male,single,"C#1G, India",-0.313174802
male,single,"C#1G, Pakistan",-0.693372006
male,single,"C#1G, Bangladesh",-1.104905751
male,single,"C#1G, Caribbean",1.422092638
male,single,"C#1G, African",1.332727168
male,single,"C#1G, Other",1.244728781
male,single,"C#2G, EW",2.154758292
male,single,"C#2G, India",0.77925882
male,single,"C#2G, Pakistan",0.390661405
male,single,"C#2G, Bangladesh",-0.169008767
male,single,"C#2G, Caribbean",1.653008574
male,single,"C#2G, African",1.084289201
male,single,"C#2G, Other",1.755654457
male,single,"M#, Native",0
male,single,"M#1G, EW",0.607025953
male,single,"M#1G, India",1.756964242
